"course_name","date","tees","hole","par","gross","stroke","lie","club","yds_to_target","yds_traveled","on_target","miss_direction","shot_type"
"Randolph North",2026-01-25,"combo","hole_15",3,3,1,"tee","8","180.0","181.0","yes","on_target","full"
"Randolph North",2026-01-25,"combo","hole_16",5,5,1,"tee","D","260.0","255.0","no","left","full"
"Randolph North",2026-01-25,"combo","hole_16",5,5,2,"rough","4","200.0","174.0","yes","on_target","punch"
"Randolph North",2026-01-25,"combo","hole_16",5,5,3,"fairway","GW","50.0","52.0","yes","on_target","choked"
"Randolph North",2026-01-25,"combo","hole_17",4,6,1,"tee","D","260.0","239.0","no","left","full"
"Randolph North",2026-01-25,"combo","hole_17",4,6,2,"rough","4","200.0","122.0","yes","on_target","punch"
"Randolph North",2026-01-25,"combo","hole_17",4,6,3,"fairway","GW","65.0","87.0","no","long","choked"
"Randolph North",2026-01-25,"combo","hole_18",4,4,1,"tee","D","260.0","292.0","no","left","full"
"Randolph North",2026-01-25,"combo","hole_18",4,4,2,"fairway","PW","140.0","140.0","yes","on_target","full"
"Silverbell",2026-01-18,"white","hole_1",4,4,1,"tee","4","220.0","205.0","no","right","full"
"Silverbell",2026-01-18,"white","hole_1",4,4,2,"rough","4","220.0","219.0","no","right","full"
"Silverbell",2026-01-18,"white","hole_2",5,6,1,"tee","D","270.0","266.0","no","left","full"
"Silverbell",2026-01-18,"white","hole_2",5,6,2,"rough","3W","250.0","192.0","no","left","full"
"Silverbell",2026-01-18,"white","hole_2",5,6,3,"rough","LW","60.0","50.0","no","short","full"
"Silverbell",2026-01-18,"white","hole_2",5,6,4,"sand","LW","15.0","14.0","yes","on_target","gsbunker"
"Silverbell",2026-01-18,"white","hole_3",3,4,1,"tee","GW","120.0","125.0","no","long","choked"
"Silverbell",2026-01-18,"white","hole_3",3,4,2,"sand","LW","15.0","15.0","no","right","gsbunker"
"Silverbell",2026-01-18,"white","hole_4",4,4,1,"tee","D","270.0","287.0","yes","on_target","full"
"Silverbell",2026-01-18,"white","hole_4",4,4,2,"fairway","8","160.0","159.0","yes","on_target","full"
"Silverbell",2026-01-18,"white","hole_5",4,6,1,"tee","D","270.0","278.0","yes","on_target","full"
"Silverbell",2026-01-18,"white","hole_5",4,6,2,"fairway","GW","82.0","100.0","no","long","choked"
"Silverbell",2026-01-18,"white","hole_6",3,4,1,"tee","7","185.0","180.0","yes","on_target","full"
"Silverbell",2026-01-18,"white","hole_7",5,5,1,"tee","D","270.0","282.0","no","left","full"
"Silverbell",2026-01-18,"white","hole_7",5,5,2,"rough","3W","250.0","214.0","no","short","full"
"Silverbell",2026-01-18,"white","hole_7",5,5,3,"rough","LW","40.0","38.0","yes","on_target","chip"
"Silverbell",2026-01-18,"white","hole_8",4,6,1,"tee","4","220.0","234.0","no","right","full"
"Silverbell",2026-01-18,"white","hole_8",4,6,2,"rough","9","150.0","131.0","no","short","punch"
"Silverbell",2026-01-18,"white","hole_8",4,6,3,"sand","LW","20.0","0.0","no","short","gsbunker"
"Silverbell",2026-01-18,"white","hole_8",4,6,4,"sand","LW","20.0","15.0","no","long","gsbunker"
"Silverbell",2026-01-18,"white","hole_9",3,3,1,"tee","8","160.0","169.0","yes","on_target","full"
"Silverbell",2026-01-18,"white","hole_10",4,5,1,"tee","D","270.0","273.0","yes","on_target","full"
"Silverbell",2026-01-18,"white","hole_10",4,5,2,"fairway","GW","50.0","54.0","yes","on_target","choked"
"Silverbell",2026-01-18,"white","hole_11",4,6,1,"tee","4","220.0","176.0","no","short","full"
"Silverbell",2026-01-18,"white","hole_11",4,6,2,"rough","8","160.0","114.0","no","short","full"
"Silverbell",2026-01-18,"white","hole_12",3,6,1,"tee","9","155.0","170.0","no","long","full"
"Silverbell",2026-01-18,"white","hole_13",4,5,1,"tee","D","270.0","270.0","no","left","full"
"Silverbell",2026-01-18,"white","hole_13",4,5,2,"rough","GW","120.0","122.0","no","long","full"
"Silverbell",2026-01-18,"white","hole_14",4,5,1,"tee","D","270.0","277.0","no","right","full"
"Silverbell",2026-01-18,"white","hole_14",4,5,2,"rough","GW","115.0","114.0","yes","on_target","choked"
"Silverbell",2026-01-18,"white","hole_15",4,4,1,"tee","D","270.0","257.0","yes","on_target","full"
"Silverbell",2026-01-18,"white","hole_15",4,4,2,"sand","SW","50.0","34.0","no","short","fwbunker"
"Silverbell",2026-01-18,"white","hole_16",3,4,1,"tee","5","200.0","205.0","no","right","full"
"Silverbell",2026-01-18,"white","hole_17",4,5,1,"tee","4","220.0","208.0","no","right","full"
"Silverbell",2026-01-18,"white","hole_17",4,5,2,"rough","5","80.0","97.0","yes","on_target","punch"
"Silverbell",2026-01-18,"white","hole_17",4,5,3,"fairway","GW","100.0","120.0","no","long","full"
"Silverbell",2026-01-18,"white","hole_17",4,5,4,"fairway","7","5.0","13.0","yes","on_target","chip"
"Silverbell",2026-01-18,"white","hole_18",5,5,1,"tee","D","270.0","236.0","no","short","full"
"Silverbell",2026-01-18,"white","hole_18",5,5,2,"fairway","5","190.0","202.0","yes","on_target","full"
"Silverbell",2026-01-18,"white","hole_18",5,5,3,"fairway","GW","82.0","62.0","no","short","choked"
"Dell Urich",2026-01-11,"combo","hole_1",4,5,1,"tee","4","220.0","262.0","no","right","full"
"Dell Urich",2026-01-11,"combo","hole_1",4,5,2,"rough","7","180.0","126.0","no","short","full"
"Dell Urich",2026-01-11,"combo","hole_2",3,4,1,"tee","GW","130.0","113.0","no","short","choked"
"Dell Urich",2026-01-11,"combo","hole_3",5,4,1,"tee","D","280.0","311.0","yes","on_target","full"
"Dell Urich",2026-01-11,"combo","hole_3",5,4,2,"fairway","5","220.0","240.0","no","left","full"
"Dell Urich",2026-01-11,"combo","hole_4",4,6,1,"tee","4","220.0","174.0","no","right","full"
"Dell Urich",2026-01-11,"combo","hole_4",4,6,2,"rough","PW","121.0","6.0","no","short","full"
"Dell Urich",2026-01-11,"combo","hole_4",4,6,3,"rough","PW","115.0","23.0","no","short","full"
"Dell Urich",2026-01-11,"combo","hole_4",4,6,4,"rough","GW","95.0","80.0","no","short","choked"
"Dell Urich",2026-01-11,"combo","hole_4",4,6,5,"fairway","7","12.0","10.0","yes","on_target","chip"
"Dell Urich",2026-01-11,"combo","hole_5",3,4,1,"tee","9","155.0","159.0","no","long","full"
"Dell Urich",2026-01-11,"combo","hole_6",5,6,1,"tee","D","260.0","204.0","no","short","full"
"Dell Urich",2026-01-11,"combo","hole_6",5,6,2,"fairway","3W","240.0","223.0","yes","on_target","full"
"Dell Urich",2026-01-11,"combo","hole_6",5,6,3,"fairway","GW","110.0","102.0","yes","on_target","choked"
"Dell Urich",2026-01-11,"combo","hole_7",4,5,1,"tee","D","270.0","252.0","no","right","full"
"Dell Urich",2026-01-11,"combo","hole_7",4,5,2,"rough","PW","140.0","119.0","no","left","full"
"Dell Urich",2026-01-11,"combo","hole_8",4,5,1,"tee","D","250.0","223.0","no","right","full"
"Dell Urich",2026-01-11,"combo","hole_8",4,5,2,"rough","5","190.0","192.0","no","left","full"
"Dell Urich",2026-01-11,"combo","hole_9",3,4,1,"tee","8","160.0","114.0","no","short","choked"
"Dell Urich",2026-01-11,"combo","hole_10",4,4,1,"tee","D","280.0","266.0","no","right","full"
"Dell Urich",2026-01-11,"combo","hole_10",4,4,2,"rough","GW","115.0","115.0","yes","on_target","full"
"Dell Urich",2026-01-11,"combo","hole_11",3,3,1,"tee","PW","150.0","150.0","yes","on_target","full"
"Dell Urich",2026-01-11,"combo","hole_12",4,5,1,"tee","D","260.0","110.0","no","short","full"
"Dell Urich",2026-01-11,"combo","hole_12",4,5,2,"rough","3W","230.0","220.0","yes","on_target","full"
"Dell Urich",2026-01-11,"combo","hole_12",4,5,3,"fairway","GW","120.0","105.0","yes","on_target","choked"
"Dell Urich",2026-01-11,"combo","hole_13",5,4,1,"tee","D","280.0","328.0","no","right","full"
"Dell Urich",2026-01-11,"combo","hole_13",5,4,2,"rough","9","155.0","155.0","yes","on_target","full"
"Dell Urich",2026-01-11,"combo","hole_14",4,5,1,"tee","D","260.0","202.0","no","left","full"
"Dell Urich",2026-01-11,"combo","hole_14",4,5,2,"rough","4","220.0","184.0","no","short","punch"
"Dell Urich",2026-01-11,"combo","hole_14",4,5,3,"rough","GW","90.0","45.0","no","short","punch"
"Dell Urich",2026-01-11,"combo","hole_15",4,6,1,"tee","D","250.0","232.0","no","right","full"
"Dell Urich",2026-01-11,"combo","hole_15",4,6,2,"rough","8","160.0","80.0","no","short","full"
"Dell Urich",2026-01-11,"combo","hole_15",4,6,3,"rough","5","70.0","68.0","yes","on_target","punch"
"Dell Urich",2026-01-11,"combo","hole_16",4,5,1,"tee","4","220.0","193.0","no","right","full"
"Dell Urich",2026-01-11,"combo","hole_16",4,5,2,"rough","7","180.0","123.0","no","short","full"
"Dell Urich",2026-01-11,"combo","hole_17",3,3,1,"tee","9","150.0","129.0","yes","on_target","full"
"Dell Urich",2026-01-11,"combo","hole_18",4,6,1,"tee","D","230.0","188.0","no","right","full"
"Dell Urich",2026-01-11,"combo","hole_18",4,6,2,"rough","3W","190.0","133.0","no","right","full"
"Dell Urich",2026-01-11,"combo","hole_18",4,6,3,"rough","8","140.0","124.0","no","short","full"
"Dell Urich",2026-01-11,"combo","hole_18",4,6,4,"sand","LW","20.0","18.0","yes","on_target","gsbunker"
"Randolph North",2026-01-04,"combo","hole_1",4,5,1,"tee","4","220.0","220.0","yes","on_target","full"
"Randolph North",2026-01-04,"combo","hole_1",4,5,2,"fairway","PW","138.0","138.0","no","right","full"
"Randolph North",2026-01-04,"combo","hole_1",4,5,3,"fairway","7","10.0","15.0","yes","on_target","chip"
"Randolph North",2026-01-04,"combo","hole_2",4,4,1,"tee","4","220.0","220.0","yes","on_target","full"
"Randolph North",2026-01-04,"combo","hole_2",4,4,2,"fairway","GW","110.0","110.0","yes","on_target","choked"
"Randolph North",2026-01-04,"combo","hole_3",5,5,1,"tee","D","270.0","270.0","no","left","full"
"Randolph North",2026-01-04,"combo","hole_3",5,5,2,"sand","6","200.0","200.0","yes","on_target","fwbunker"
"Randolph North",2026-01-04,"combo","hole_3",5,5,3,"fairway","GW","60.0","60.0","no","short","choked"
"Randolph North",2026-01-04,"combo","hole_4",4,5,1,"tee","D","270.0","270.0","no","right","full"
"Randolph North",2026-01-04,"combo","hole_4",4,5,2,"rough","5","130.0","130.0","no","short","punch"
"Randolph North",2026-01-04,"combo","hole_5",4,4,1,"tee","D","270.0","270.0","yes","on_target","full"
"Randolph North",2026-01-04,"combo","hole_5",4,4,2,"fairway","8","150.0","150.0","yes","on_target","full"
"Randolph North",2026-01-04,"combo","hole_6",3,4,1,"tee","9","141.0","141.0","yes","on_target","full"
"Randolph North",2026-01-04,"combo","hole_7",4,5,1,"tee","D","270.0","270.0","no","right","full"
"Randolph North",2026-01-04,"combo","hole_7",4,5,2,"rough","GW","110.0","110.0","no","long","full"
"Randolph North",2026-01-04,"combo","hole_8",3,3,1,"tee","7","178.0","178.0","no","right","full"
"Randolph North",2026-01-04,"combo","hole_9",5,5,1,"tee","D","270.0","270.0","no","right","full"
"Randolph North",2026-01-04,"combo","hole_9",5,5,2,"rough","4","220.0","220.0","yes","short","full"
"Randolph North",2026-01-04,"combo","hole_10",4,5,1,"tee","D","270.0","270.0","no","right","full"
"Randolph North",2026-01-04,"combo","hole_10",4,5,2,"rough","5","190.0","190.0","no","short","punch"
"Randolph North",2026-01-04,"combo","hole_10",4,5,3,"rough","GW","60.0","60.0","yes","on_target","choked"
"Randolph North",2026-01-04,"combo","hole_11",3,4,1,"tee","7","180.0","180.0","no","long","full"
"Randolph North",2026-01-04,"combo","hole_12",4,6,1,"tee","D","270.0","270.0","no","right","full"
"Randolph North",2026-01-04,"combo","hole_12",4,6,2,"rough","9","136.0","136.0","no","short","full"
"Randolph North",2026-01-04,"combo","hole_13",5,5,1,"tee","D","270.0","270.0","yes","on_target","full"
"Randolph North",2026-01-04,"combo","hole_13",5,5,2,"fairway","7","180.0","180.0","yes","on_target","full"
"Randolph North",2026-01-04,"combo","hole_14",4,4,1,"tee","D","270.0","270.0","no","right","full"
"Randolph North",2026-01-04,"combo","hole_14",4,4,2,"rough","9","150.0","150.0","yes","on_target","full"
"Randolph North",2026-01-04,"combo","hole_15",3,3,1,"tee","7","179.0","179.0","yes","on_target","full"
"Randolph North",2026-01-04,"combo","hole_16",5,5,1,"tee","D","270.0","270.0","no","right","full"
"Randolph North",2026-01-04,"combo","hole_16",5,5,2,"rough","4","264.0","264.0","no","right","full"
"Randolph North",2026-01-04,"combo","hole_17",4,6,1,"tee","D","270.0","270.0","no","left","full"
"Randolph North",2026-01-04,"combo","hole_17",4,6,2,"rough","3W","250.0","250.0","no","right","full"
"Randolph North",2026-01-04,"combo","hole_17",4,6,3,"rough","4","220.0","220.0","no","left","full"
"Randolph North",2026-01-04,"combo","hole_18",4,4,1,"tee","4","220.0","220.0","yes","on_target","full"
"Randolph North",2026-01-04,"combo","hole_18",4,4,2,"fairway","4","180.0","180.0","yes","on_target","full"
"Randolph North",2026-02-08,"combo","hole_1",4,5,1,"tee","4","220.0","210.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_1",4,5,2,"rough","4","160.0","173.0","no","long","punch"
"Randolph North",2026-02-08,"combo","hole_1",4,5,3,"fairway","PW","15.0","13.0","yes","on_target","chip"
"Randolph North",2026-02-08,"combo","hole_2",4,5,1,"tee","D","270.0","302.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_2",4,5,2,"rough","SW","50.0","37.0","no","short","chip"
"Randolph North",2026-02-08,"combo","hole_2",4,5,3,"sand","LW","10.0","17.0","yes","on_target","gsbunker"
"Randolph North",2026-02-08,"combo","hole_3",5,5,1,"tee","D","270.0","243.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_3",5,5,2,"rough","3W","250.0","224.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_3",5,5,3,"rough","GW","60.0","75.0","yes","on_target","chip"
"Randolph North",2026-02-08,"combo","hole_3",5,5,4,"fairway","P","5.0","5.0","yes","on_target","putt"
"Randolph North",2026-02-08,"combo","hole_4",4,5,1,"tee","D","270.0","261.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_4",4,5,2,"rough","9","150.0","149.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_4",4,5,3,"fairway","PW","15.0","15.0","yes","on_target","chip"
"Randolph North",2026-02-08,"combo","hole_5",4,4,1,"tee","D","270.0","302.0","no","left","full"
"Randolph North",2026-02-08,"combo","hole_5",4,4,2,"rough","PW","140.0","129.0","yes","on_target","full"
"Randolph North",2026-02-08,"combo","hole_6",3,4,1,"tee","PW","140.0","140.0","yes","on_target","full"
"Randolph North",2026-02-08,"combo","hole_7",4,5,1,"tee","3W","250.0","250.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_7",4,5,2,"rough","5","135.0","129.0","no","short","rough"
"Randolph North",2026-02-08,"combo","hole_7",4,5,3,"sand","LW","15.0","15.0","yes","on_target","gsbunker"
"Randolph North",2026-02-08,"combo","hole_8",3,4,1,"tee","7","185.0","179.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_8",3,4,2,"rough","PW","10.0","20.0","yes","on_target","chip"
"Randolph North",2026-02-08,"combo","hole_9",5,5,1,"tee","D","270.0","263.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_9",5,5,2,"rough","5","200.0","214.0","no","long","full"
"Randolph North",2026-02-08,"combo","hole_9",5,5,3,"rough","PW","20.0","10.0","yes","on_target","chip"
"Randolph North",2026-02-08,"combo","hole_10",4,4,1,"tee","D","270.0","247.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_10",4,4,2,"rough","6","190.0","132.0","no","short","punch"
"Randolph North",2026-02-08,"combo","hole_10",4,4,3,"fairway","SW","60.0","58.0","yes","on_target","chip"
"Randolph North",2026-02-08,"combo","hole_11",3,3,1,"tee","7","180.0","185.0","yes","on_target","full"
"Randolph North",2026-02-08,"combo","hole_12",4,6,1,"tee","D","270.0","273.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_12",4,6,2,"rough","GW","120.0","36.0","no","short","full"
"Randolph North",2026-02-08,"combo","hole_12",4,6,3,"fairway","GW","100.0","87.0","no","right","choked"
"Randolph North",2026-02-08,"combo","hole_12",4,6,4,"rough","SW","50.0","43.0","yes","on_target","chip"
"Randolph North",2026-02-08,"combo","hole_13",5,6,1,"tee","D","270.0","261.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_13",5,6,2,"rough","4","230.0","100.0","no","short","full"
"Randolph North",2026-02-08,"combo","hole_13",5,6,3,"fairway","PW","130.0","150.0","no","long","full"
"Randolph North",2026-02-08,"combo","hole_13",5,6,4,"rough","SW","20.0","20.0","yes","on_target","chip"
"Randolph North",2026-02-08,"combo","hole_14",4,5,1,"tee","D","270.0","273.0","yes","on_target","full"
"Randolph North",2026-02-08,"combo","hole_14",4,5,2,"fairway","PW","145.0","120.0","no","short","full"
"Randolph North",2026-02-08,"combo","hole_14",4,5,3,"fairway","SW","30.0","26.0","yes","on_target","chip"
"Randolph North",2026-02-08,"combo","hole_15",3,3,1,"tee","7","175.0","173.0","yes","on_target","full"
"Randolph North",2026-02-08,"combo","hole_16",5,4,1,"tee","D","270.0","304.0","no","left","full"
"Randolph North",2026-02-08,"combo","hole_16",5,4,2,"rough","6","180.0","170.0","yes","on_target","full"
"Randolph North",2026-02-08,"combo","hole_17",4,6,1,"tee","D","270.0","251.0","no","left","full"
"Randolph North",2026-02-08,"combo","hole_17",4,6,2,"rough","8","165.0","210.0","no","long","full"
"Randolph North",2026-02-08,"combo","hole_17",4,6,3,"rough","SW","40.0","23.0","no","short","chip"
"Randolph North",2026-02-08,"combo","hole_17",4,6,4,"fairway","PW","20.0","21.0","yes","on_target","chip"
"Randolph North",2026-02-08,"combo","hole_18",4,4,1,"tee","D","270.0","304.0","no","right","full"
"Randolph North",2026-02-08,"combo","hole_18",4,4,2,"rough","GW","130.0","130.0","yes","on_target","full"
